day_number,minutes_past_midnight
0,1023
1,1023
2,1024
3,1025
4,1026
5,1027
6,1028
7,1029
8,1030
9,1031
10,1032
11,1033
12,1034
13,1035
14,1036
15,1037
16,1038
17,1039
18,1040
19,1041
20,1042
21,1043
22,1044
23,1046
24,1047
25,1048
26,1049
27,1050
28,1051
29,1052
30,1053
31,1055
32,1056
33,1057
34,1058
35,1059
36,1060
37,1061
38,1063
39,1064
40,1065
41,1066
42,1067
43,1068
44,1069
45,1070
46,1071
47,1072
48,1074
49,1075
50,1076
51,1077
52,1078
53,1079
54,1080
55,1081
56,1082
57,1083
58,1084
59,1085
60,1086
61,1087
62,1088
63,1089
64,1090
65,1091
66,1092
67,1153
68,1154
69,1155
70,1156
71,1157
72,1158
73,1159
74,1160
75,1161
76,1162
77,1163
78,1164
79,1165
80,1166
81,1167
82,1168
83,1169
84,1170
85,1170
86,1171
87,1172
88,1173
89,1174
90,1175
91,1176
92,1177
93,1178
94,1179
95,1180
96,1181
97,1182
98,1183
99,1184
100,1185
101,1185
102,1186
103,1187
104,1188
105,1189
106,1190
107,1191
108,1192
109,1193
110,1194
111,1195
112,1196
113,1197
114,1198
115,1199
116,1200
117,1201
118,1202
119,1202
120,1203
121,1204
122,1205
123,1206
124,1207
125,1208
126,1209
127,1210
128,1211
129,1212
130,1213
131,1214
132,1215
133,1215
134,1216
135,1217
136,1218
137,1219
138,1220
139,1221
140,1221
141,1222
142,1223
143,1224
144,1225
145,1226
146,1226
147,1227
148,1228
149,1228
150,1229
151,1230
152,1231
153,1231
154,1232
155,1232
156,1233
157,1234
158,1234
159,1235
160,1235
161,1236
162,1236
163,1236
164,1237
165,1237
166,1238
167,1238
168,1238
169,1238
170,1239
171,1239
172,1239
173,1239
174,1239
175,1239
176,1240
177,1240
178,1240
179,1240
180,1240
181,1239
182,1239
183,1239
184,1239
185,1239
186,1238
187,1238
188,1238
189,1238
190,1237
191,1237
192,1236
193,1236
194,1235
195,1235
196,1234
197,1234
198,1233
199,1232
200,1232
201,1231
202,1230
203,1230
204,1229
205,1228
206,1227
207,1226
208,1225
209,1224
210,1223
211,1222
212,1221
213,1220
214,1219
215,1218
216,1217
217,1216
218,1215
219,1214
220,1213
221,1212
222,1210
223,1209
224,1208
225,1207
226,1205
227,1204
228,1203
229,1201
230,1200
231,1199
232,1197
233,1196
234,1194
235,1193
236,1192
237,1190
238,1189
239,1187
240,1186
241,1184
242,1183
243,1181
244,1180
245,1178
246,1177
247,1175
248,1174
249,1172
250,1170
251,1169
252,1167
253,1166
254,1164
255,1163
256,1161
257,1159
258,1158
259,1156
260,1155
261,1153
262,1152
263,1150
264,1148
265,1147
266,1145
267,1144
268,1142
269,1140
270,1139
271,1137
272,1136
273,1134
274,1133
275,1131
276,1130
277,1128
278,1127
279,1125
280,1124
281,1122
282,1121
283,1119
284,1118
285,1116
286,1115
287,1113
288,1112
289,1111
290,1109
291,1108
292,1107
293,1105
294,1104
295,1103
296,1101
297,1100
298,1099
299,1098
300,1096
301,1095
302,1094
303,1093
304,1092
305,1031
306,1030
307,1029
308,1028
309,1027
310,1026
311,1025
312,1024
313,1023
314,1022
315,1021
316,1021
317,1020
318,1019
319,1018
320,1018
321,1017
322,1016
323,1016
324,1015
325,1015
326,1014
327,1014
328,1013
329,1013
330,1013
331,1012
332,1012
333,1012
334,1012
335,1012
336,1011
337,1011
338,1011
339,1011
340,1011
341,1011
342,1011
343,1011
344,1012
345,1012
346,1012
347,1012
348,1013
349,1013
350,1013
351,1014
352,1014
353,1015
354,1015
355,1016
356,1016
357,1017
358,1017
359,1018
360,1019
361,1019
362,1020
363,1021
364,1022
365,1022
366,1023
367,1024
368,1025
369,1026
370,1027
371,1028
372,1028
373,1029
374,1030
375,1031
376,1032
377,1033
378,1034
379,1035
380,1037
381,1038
382,1039
383,1040
384,1041
385,1042
386,1043
387,1044
388,1045
389,1046
390,1048
391,1049
392,1050
393,1051
394,1052
395,1053
396,1054
397,1055
398,1057
399,1058
400,1059
401,1060
402,1061
403,1062
404,1063
405,1064
406,1066
407,1067
408,1068
409,1069
410,1070
411,1071
412,1072
413,1073
414,1074
415,1075
416,1077
417,1078
418,1079
419,1080
420,1081
421,1082
422,1083
423,1084
424,1085
425,1086
426,1087
427,1088
428,1089
429,1090
430,1091
431,1152
432,1153
433,1154
434,1155
435,1156
436,1157
437,1158
438,1159
439,1160
440,1161
441,1162
442,1163
443,1164
444,1165
445,1165
446,1166
447,1167
448,1168
449,1169
450,1170
451,1171
452,1172
453,1173
454,1174
455,1175
456,1176
457,1177
458,1178
459,1179
460,1180
461,1181
462,1181
463,1182
464,1183
465,1184
466,1185
467,1186
468,1187
469,1188
470,1189
471,1190
472,1191
473,1192
474,1193
475,1194
476,1195
477,1196
478,1197
479,1198
480,1198
481,1199
482,1200
483,1201
484,1202
485,1203
486,1204
487,1205
488,1206
489,1207
490,1208
491,1209
492,1210
493,1211
494,1212
495,1213
496,1213
497,1214
498,1215
499,1216
500,1217
501,1218
502,1219
503,1220
504,1220
505,1221
506,1222
507,1223
508,1224
509,1225
510,1225
511,1226
512,1227
513,1228
514,1228
515,1229
516,1230
517,1230
518,1231
519,1232
520,1232
521,1233
522,1233
523,1234
524,1235
525,1235
526,1235
527,1236
528,1236
529,1237
530,1237
531,1238
532,1238
533,1238
534,1238
535,1239
536,1239
537,1239
538,1239
539,1239
540,1239
541,1240
542,1240
543,1240
544,1240
545,1240
546,1239
547,1239
548,1239
549,1239
550,1239
551,1239
552,1238
553,1238
554,1238
555,1237
556,1237
557,1236
558,1236
559,1235
560,1235
561,1234
562,1234
563,1233
564,1233
565,1232
566,1231
567,1230
568,1230
569,1229
570,1228
571,1227
572,1226
573,1226
574,1225
575,1224
576,1223
577,1222
578,1221
579,1220
580,1219
581,1218
582,1216
583,1215
584,1214
585,1213
586,1212
587,1211
588,1209
589,1208
590,1207
591,1206
592,1204
593,1203
594,1202
595,1200
596,1199
597,1198
598,1196
599,1195
600,1193
601,1192
602,1190
603,1189
604,1188
605,1186
606,1185
607,1183
608,1182
609,1180
610,1179
611,1177
612,1175
613,1174
614,1172
615,1171
616,1169
617,1168
618,1166
619,1165
620,1163
621,1161
622,1160
623,1158
624,1157
625,1155
626,1153
627,1152
628,1150
629,1149
630,1147
631,1146
632,1144
633,1142
634,1141
635,1139
636,1138
637,1136
638,1135
639,1133
640,1132
641,1130
642,1128
643,1127
644,1125
645,1124
646,1122
647,1121
648,1120
649,1118
650,1117
651,1115
652,1114
653,1112
654,1111
655,1110
656,1108
657,1107
658,1106
659,1104
660,1103
661,1102
662,1100
663,1099
664,1098
665,1097
666,1096
667,1094
668,1093
669,1032
670,1031
671,1030
672,1029
673,1028
674,1027
675,1026
676,1025
677,1024
678,1023
679,1022
680,1022
681,1021
682,1020
683,1019
684,1019
685,1018
686,1017
687,1017
688,1016
689,1015
690,1015
691,1014
692,1014
693,1014
694,1013
695,1013
696,1012
697,1012
698,1012
699,1012
700,1012
701,1011
702,1011
703,1011
704,1011
705,1011
706,1011
707,1011
708,1011
709,1012
710,1012
711,1012
712,1012
713,1013
714,1013
715,1013
716,1014
717,1014
718,1014
719,1015
720,1015
721,1016
722,1017
723,1017
724,1018
725,1018
726,1019
727,1020
728,1021
729,1021
730,1022
731,1023
732,1024
733,1025
734,1026
735,1026
736,1027
737,1028
738,1029
739,1030
740,1031
741,1032
742,1033
743,1034
744,1035
745,1036
746,1037
747,1038
748,1040
749,1041
750,1042
751,1043
752,1044
753,1045
754,1046
755,1047
756,1048
757,1050
758,1051
759,1052
760,1053
761,1054
762,1055
763,1056
764,1057
765,1059
766,1060
767,1061
768,1062
769,1063
770,1064
771,1065
772,1066
773,1068
774,1069
775,1070
776,1071
777,1072
778,1073
779,1074
780,1075
781,1076
782,1077
783,1078
784,1079
785,1080
786,1082
787,1083
788,1084
789,1085
790,1086
791,1087
792,1088
793,1089
794,1090
795,1091
796,1092
797,1093
798,1094
799,1095
800,1096
801,1097
802,1158
803,1159
804,1160
805,1160
806,1161
807,1162
808,1163
809,1164
810,1165
811,1166
812,1167
813,1168
814,1169
815,1170
816,1171
817,1172
818,1173
819,1174
820,1175
821,1176
822,1177
823,1178
824,1178
825,1179
826,1180
827,1181
828,1182
829,1183
830,1184
831,1185
832,1186
833,1187
834,1188
835,1189
836,1190
837,1191
838,1192
839,1193
840,1194
841,1194
842,1195
843,1196
844,1197
845,1198
846,1199
847,1200
848,1201
849,1202
850,1203
851,1204
852,1205
853,1206
854,1207
855,1208
856,1209
857,1210
858,1210
859,1211
860,1212
861,1213
862,1214
863,1215
864,1216
865,1217
866,1218
867,1219
868,1219
869,1220
870,1221
871,1222
872,1223
873,1224
874,1224
875,1225
876,1226
877,1227
878,1227
879,1228
880,1229
881,1230
882,1230
883,1231
884,1231
885,1232
886,1233
887,1233
888,1234
889,1234
890,1235
891,1235
892,1236
893,1236
894,1237
895,1237
896,1237
