day_number,minutes_past_midnight
0,1023
1,1024
2,1025
3,1026
4,1026
5,1027
6,1028
7,1029
8,1030
9,1031
10,1032
11,1033
12,1034
13,1035
14,1036
15,1037
16,1038
17,1039
18,1041
19,1042
20,1043
21,1044
22,1045
23,1046
24,1047
25,1048
26,1049
27,1051
28,1052
29,1053
30,1054
31,1055
32,1056
33,1057
34,1059
35,1060
36,1061
37,1062
38,1063
39,1064
40,1065
41,1066
42,1067
43,1069
44,1070
45,1071
46,1072
47,1073
48,1074
49,1075
50,1076
51,1077
52,1078
53,1079
54,1080
55,1081
56,1082
57,1084
58,1085
59,1086
60,1087
61,1088
62,1089
63,1090
64,1091
65,1092
66,1093
67,1154
68,1155
69,1156
70,1157
71,1157
72,1158
73,1159
74,1160
75,1161
76,1162
77,1163
78,1164
79,1165
80,1166
81,1167
82,1168
83,1169
84,1170
85,1171
86,1172
87,1173
88,1174
89,1175
90,1175
91,1176
92,1177
93,1178
94,1179
95,1180
96,1181
97,1182
98,1183
99,1184
100,1185
101,1186
102,1187
103,1188
104,1189
105,1190
106,1190
107,1191
108,1192
109,1193
110,1194
111,1195
112,1196
113,1197
114,1198
115,1199
116,1200
117,1201
118,1202
119,1203
120,1204
121,1205
122,1206
123,1207
124,1207
125,1208
126,1209
127,1210
128,1211
129,1212
130,1213
131,1214
132,1215
133,1216
134,1217
135,1217
136,1218
137,1219
138,1220
139,1221
140,1222
141,1223
142,1223
143,1224
144,1225
145,1226
146,1226
147,1227
148,1228
149,1229
150,1229
151,1230
152,1231
153,1231
154,1232
155,1233
156,1233
157,1234
158,1234
159,1235
160,1235
161,1236
162,1236
163,1237
164,1237
165,1237
166,1238
167,1238
168,1238
169,1239
170,1239
171,1239
172,1239
173,1239
174,1240
175,1240
176,1240
177,1240
178,1240
179,1240
180,1240
181,1240
182,1239
183,1239
184,1239
185,1239
186,1239
187,1238
188,1238
189,1238
190,1237
191,1237
192,1237
193,1236
194,1236
195,1235
196,1234
197,1234
198,1233
199,1233
200,1232
201,1231
202,1231
203,1230
204,1229
205,1228
206,1227
207,1226
208,1226
209,1225
210,1224
211,1223
212,1222
213,1221
214,1220
215,1219
216,1218
217,1216
218,1215
219,1214
220,1213
221,1212
222,1211
223,1209
224,1208
225,1207
226,1206
227,1204
228,1203
229,1202
230,1200
231,1199
232,1198
233,1196
234,1195
235,1193
236,1192
237,1190
238,1189
239,1187
240,1186
241,1185
242,1183
243,1182
244,1180
245,1178
246,1177
247,1175
248,1174
249,1172
250,1171
251,1169
252,1168
253,1166
254,1165
255,1163
256,1161
257,1160
258,1158
259,1157
260,1155
261,1153
262,1152
263,1150
264,1149
265,1147
266,1146
267,1144
268,1142
269,1141
270,1139
271,1138
272,1136
273,1135
274,1133
275,1132
276,1130
277,1129
278,1127
279,1126
280,1124
281,1123
282,1121
283,1120
284,1118
285,1117
286,1115
287,1114
288,1112
289,1111
290,1110
291,1108
292,1107
293,1106
294,1104
295,1103
296,1102
297,1101
298,1099
299,1098
